pile_num,img_x_px,img_y_px,ocr_conf,angle_votes,confidence_level
1020,3961.8,3811.3,96,3,medium
1021,3818.5,3784.6,95,3,medium
1022,3641.7,3799.5,94,4,medium
1023,3531.2,3735.6,95,4,medium
1024,3621.2,3386.0,96,4,medium
1025,3918.3,3767.0,93,3,medium
1026,3715.6,3810.1,93,4,medium
1027,3738.7,3536.7,87,4,medium
1028,3637.3,3449.1,96,4,medium
1029,3383.2,3593.4,95,4,medium
1030,3744.3,3911.3,92,2,medium
1031,3509.8,3949.9,86,4,medium
1032,3298.8,3945.7,96,4,medium
1033,3566.1,3435.9,92,4,medium
1034,3365.7,3494.1,94,4,medium
1035,3699.3,3896.6,95,4,medium
1036,3528.5,3865.7,86,2,medium
1037,3470.9,3715.4,94,4,medium
1038,3287.2,3698.9,96,5,high
1039,3258.1,3524.0,93,2,medium
1040,3429.5,4106.3,92,3,medium
1041,4005.1,3784.9,63,1,low
1043,3165.9,3746.1,91,5,high
1044,3227.3,3484.2,96,6,high
1045,3326.6,4152.0,93,4,medium
