name,easting_m,northing_m,working_platform_level_m,diameter_m,total_length_m,zone_name,,,,,,
CMC-111,502951.431,2443921.998,6.25,0.6,16,Boundary Wall,,,,,,
CMC-112,502950.436,2443923.734,6.25,0.6,16,Boundary Wall,,,,,,
CMC-113,502949.442,2443925.469,6.25,0.6,16,Boundary Wall,,,,,,
CMC-114,502948.447,2443927.204,6.25,0.6,16,Boundary Wall,,,,,,
CMC-115,502947.453,2443928.94,6.25,0.6,16,Boundary Wall,,,,,,
CMC-116,502946.459,2443930.675,6.25,0.6,16,Boundary Wall,,,,,,
CMC-117,502945.464,2443932.41,6.25,0.6,16,Boundary Wall,,,,,,
CMC-118,502944.47,2443934.146,6.25,0.6,16,Boundary Wall,,,,,,
CMC-119,502943.475,2443935.881,6.25,0.6,16,Boundary Wall,,,,,,
CMC-120,502942.481,2443937.617,6.25,0.6,16,Boundary Wall,,,,,,
CMC-121,502941.486,2443939.352,6.25,0.6,16,Boundary Wall,,,,,,
CMC-122,502940.492,2443941.087,6.25,0.6,16,Boundary Wall,,,,,,
CMC-123,502971.067,2443891.756,6.25,0.6,16,Boundary Wall,,,,,,
CMC-124,502970.072,2443893.492,6.25,0.6,16,Boundary Wall,,,,,,
CMC-125,502969.078,2443895.227,6.25,0.6,16,Boundary Wall,,,,,,
CMC-126,502968.083,2443896.962,6.25,0.6,16,Boundary Wall,,,,,,
CMC-127,502967.089,2443898.698,6.25,0.6,16,Boundary Wall,,,,,,
CMC-128,502966.095,2443900.433,6.25,0.6,16,Boundary Wall,,,,,,
CMC-129,502965.1,2443902.168,6.25,0.6,16,Boundary Wall,,,,,,
CMC-130,502964.106,2443903.904,6.25,0.6,16,Boundary Wall,,,,,,
CMC-131,502963.111,2443905.639,6.25,0.6,16,Boundary Wall,,,,,,
CMC-132,502962.117,2443907.375,6.25,0.6,16,Boundary Wall,,,,,,
CMC-133,502961.122,2443909.11,6.25,0.6,16,Boundary Wall,,,,,,
CMC-134,502960.128,2443910.845,6.25,0.6,16,Boundary Wall,,,,,,
CMC-135,502959.133,2443912.581,6.25,0.6,16,Boundary Wall,,,,,,
CMC-136,502958.139,2443914.316,6.25,0.6,16,Boundary Wall,,,,,,
CMC-137,502957.144,2443916.051,6.25,0.6,16,Boundary Wall,,,,,,
CMC-138,502956.15,2443917.787,6.25,0.6,16,Boundary Wall,,,,,,
CMC-139,502955.155,2443919.522,6.25,0.6,16,Boundary Wall,,,,,,
CMC-140,502954.161,2443921.257,6.25,0.6,16,Boundary Wall,,,,,,
CMC-141,502953.166,2443922.993,6.25,0.6,16,Boundary Wall,,,,,,
